sessionId,participant_id,agent_class,target,createdAt,totalHits,totalTrials,hitRate,blocksCompleted,blocksPlanned,sessionComplete,demographics
cBdL7gZSQMVQ5CPlIdsc,2SSbYX237jR9aOfq1lvxvxeR8LF2,ai_agent,,2026-01-22T04:03:28.054000+00:00,2181.0,4500.0,0.4846666666666667,30.0,30.0,True,
cFY49bgOZXAAvPiRU8xS,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-12-23T22:39:41.483000+00:00,2247.0,4500.0,0.49933333333333335,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
cJLZZsAnpH9QmhJTAMFW,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T19:41:41.221000+00:00,2232.0,4500.0,0.496,30.0,30.0,True,
cSvdzP7AxDa5toWf45Hb,I8Fesxc9gYMypdf9O0TRZULuBBQ2,ai_agent,,2026-01-23T01:58:28.665000+00:00,2286.0,4500.0,0.508,30.0,30.0,True,
cTvP7NFio87dvuALsCVC,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T15:36:32.968000+00:00,2222.0,4500.0,0.49377777777777776,30.0,30.0,True,
cZT8O500WGmOrJ9V1lYW,n8nGQ7zqhPP8Y4orhMVUou01syX2,human,,2025-12-20T18:46:45.317000+00:00,2309.0,4500.0,0.5131111111111111,30.0,30.0,True,"{'age': 18, 'clarityNow': 6, 'screenTime': 2, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
d84hBrVzICn3NtFzZBJ8,mr70epVjC5OAEHxiGuht2h2T6qH2,ai_agent,,2026-01-26T16:34:38.224000+00:00,2260.0,4500.0,0.5022222222222222,30.0,30.0,True,
dA1WKcNJD3WVSm4DJaJc,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T05:27:06.089000+00:00,2267.0,4500.0,0.5037777777777778,30.0,30.0,True,
dCKWqHeU4LqWEzhpErf3,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-23T18:01:21.283000+00:00,,,,,,,
dVFhdvX6RV66MvfnctHN,ZMO2YYSTZ9f4hPZqQffebxAmnyp1,ai_agent,,2026-01-27T01:43:16.766000+00:00,2256.0,4500.0,0.5013333333333333,30.0,30.0,True,
dX50yH8SygepBqdvKwoa,XtFvgVxc8zdxZhtMHwkHz3FtHGU2,human,,2025-12-09T04:40:36.123000+00:00,2219.0,4500.0,0.4931111111111111,30.0,30.0,True,"{'age': 30, 'clarityNow': 5, 'screenTime': 3, 'flow': 'Occasionally', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
dXUmJ4tsc61dxXqWG69P,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T06:03:12.418000+00:00,2252.0,4500.0,0.5004444444444445,30.0,30.0,True,
dpfcJuv2Fj9i1acwOjmF,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T19:53:22.215000+00:00,2238.0,4500.0,0.49733333333333335,30.0,30.0,True,
e53hwTy3YJk5J0n5DH9j,yXqTavuOnXWd2SjRziAcTeT2lb12,human,,2025-12-28T20:35:16.136000+00:00,2317.0,4500.0,0.5148888888888888,30.0,30.0,True,"{'age': 35, 'clarityNow': 9, 'screenTime': 12, 'flow': 'Often', 'psiPossibility': 'I am skeptical', 'deepWork': 'More than 2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Frequently', 'autism': 'No'}"
eEeIAuSucz4v9L7AJr7Z,TqrCvBskDngkIWhl2ItfZntTsr52,human,,2025-12-26T05:35:10.376000+00:00,2245.0,4500.0,0.4988888888888889,30.0,30.0,True,"{'age': 20, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
eHEnVW2F8JAQS4Vt6T3h,KI1RQQzi5NZDN5b1OIQYW3q4FL43,ai_agent,,2026-01-26T18:38:46.182000+00:00,2291.0,4500.0,0.5091111111111111,30.0,30.0,True,
ePPiEtJFInUghUA31vs0,ub0CmVvXqlNS1HfCP7GEFAMRPcw2,ai_agent,,2025-10-25T23:27:30.250000+00:00,2259.0,4500.0,0.502,30.0,30.0,True,
eUBNsniWgDXfc6Tk7zba,jw3wKoijCch0LusF5tED3f6Tgih2,human,,2025-12-16T04:33:37.828000+00:00,2271.0,4500.0,0.5046666666666667,30.0,30.0,True,"{'age': 41, 'clarityNow': 6, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'Less than 1 hour', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'Yes', 'scrolling': 'Sometimes', 'autism': 'No'}"
eVP11gpm0TpHYBzNwAz8,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-10-17T22:56:53.340000+00:00,2276.0,4500.0,0.5057777777777778,30.0,30.0,False,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
eZDyO2KEOroLgjaXWD2x,2SSbYX237jR9aOfq1lvxvxeR8LF2,ai_agent,,2026-01-22T04:12:45.334000+00:00,2301.0,4500.0,0.5113333333333333,30.0,30.0,True,
ejEXqmmkNiSaxggCLz8s,wpb2rvaHhEXkdUratYdjRpreew13,ai_agent,,2026-01-23T18:31:09.425000+00:00,2281.0,4500.0,0.5068888888888889,30.0,30.0,True,
eqpUMxg7H5az08PSNBbn,UVqDMkYRw3XHMNvCYVuJjueYXRm1,human,,2026-01-21T20:14:50.147000+00:00,2233.0,4500.0,0.49622222222222223,30.0,30.0,True,"{'age': 27, 'clarityNow': 3, 'screenTime': 8, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Yes'}"
etbzy006HtiuLTKjHo7v,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T15:50:10.643000+00:00,2308.0,4500.0,0.5128888888888888,30.0,30.0,True,
euUDL9YYnDMy6otNlCGv,2SSbYX237jR9aOfq1lvxvxeR8LF2,ai_agent,,2026-01-22T03:54:50.026000+00:00,2299.0,4500.0,0.5108888888888888,30.0,30.0,True,
euYApd1c333WGQ4zL77K,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T06:04:33.042000+00:00,2211.0,4500.0,0.49133333333333334,30.0,30.0,True,
ewn3QJNArIIFxyaTMbJJ,TqrCvBskDngkIWhl2ItfZntTsr52,human,,2025-12-26T05:30:02.460000+00:00,2278.0,4500.0,0.5062222222222222,30.0,30.0,True,"{'age': 20, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
f2bSaWDeaOVJtKtgiOSC,y612YV0ACNSi8gs6TnC3QIueQi23,human,,2025-10-24T23:20:37.982000+00:00,2242.0,4500.0,0.49822222222222223,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
f6Nu8VsC8uhzSZmO4wSa,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T06:08:33.293000+00:00,2219.0,4500.0,0.4931111111111111,30.0,30.0,True,
fAGVw6sSJxCjULnJOs0o,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T15:45:44.543000+00:00,2317.0,4500.0,0.5148888888888888,30.0,30.0,True,
fJ8H5oS1q5D0ssX7pvCT,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-10-22T00:04:26.782000+00:00,2252.0,4500.0,0.5004444444444445,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
